Grupo Empresarial / Matriz
Caracol Primera Cadena Radial Colombiana S.A. (Blu Radio)
Gases del Caribe S.A. ESP (participación)
Grupo de Inversiones Suramericana S.A. (Grupo SURA)
Suramericana S.A. (Seguros SURA)
EPS Suramericana S.A. (EPS SURA)
Administradora de Fondos de Pensiones y Cesantías Protección S.A.
Arus S.A.
Grupo Argos S.A.
Cementos Argos S.A.
Celsia S.A. ESP
Odinsa S.A.
Summa Servicios Corporativos Integrales S.A.S.
Fondo Inmobiliario Pactia S.A.S.
Organización Terpel S.A.
Massy Motors Colombia S.A.S.
Lubricantes de Colombia S.A.S.
Terpel Aviación
Gazel (Inversiones y marcas controladas)
Bancolombia S.A.
Fiduciaria Bancolombia S.A.
Valores Bancolombia S.A. Comisionista de Bolsa
Leasing Bancolombia S.A. Compañía de Financiamiento
Renting Colombia S.A.
Compañía de Financiamiento Tuya S.A. (Financiera Tuya en alianza con Éxito)
Nequi (operando como compañía de financiamiento)
Puntos Colombia S.A.S. (Alianza)
Wompi
Grupo Bolívar S.A.
Banco Davivienda S.A.
Seguros Comerciales Bolívar S.A.
Seguros de Vida Bolívar S.A.
Compañía de Seguros Bolívar S.A.
Constructora Bolívar S.A.
Fiduciaria Davivienda S.A.
Corredores Davivienda S.A. Comisionista de Bolsa
Inversora Anagrama S.A.S.
Ciencuadras S.A.S.
Almacenes Éxito S.A.
Carulla
Surtimax
Super Inter
Distribuidora de Textiles y Confecciones S.A. (Didetexco)
Patrimonio Autónomo Fideicomiso Viva Malls
Compañía de Financiamiento Tuya S.A. (Aliado con Bancolombia)
Puntos Colombia S.A.S. (Aliado)
Gilex Holding B.V. (y matrices asociadas)
Banco GNB Sudameris S.A.
Servibanca S.A.
Lulo Bank S.A.
Publicaciones Semana S.A. (Revista Semana, diario El País)
Plásticos Rimax S.A.S.
Compañía Internacional de Alimentos S.A.S. (Yupi)
Productos Químicos Panamericanos (PQP)
Hoteles Casa Medina y Charleston
Grupo Nutresa S.A. (incluye Compañía Nacional de Chocolates S.A.S., Colcafé S.A.S., Alimentos Cárnicos S.A.S. / Zenú, Meals de Colombia S.A.S.) - Tras recientes acuerdos OPA.
Corona Industrial S.A.S.
Locería Colombiana S.A.S.
Compañía Colombiana de Cerámica S.A.S. (Colcerámica)
Sumicol S.A.S.
Erecos S.A.S.
Sodimac Colombia S.A. (Homecenter y Constructor - joint venture con Falabella)
Empresa Colombiana de Cementos S.A.S. (Ecocementos / Alion - joint venture)
Agromillora Andina S.A.S.
Grupo Energía Bogotá S.A. ESP
Transportadora de Gas Internacional S.A. ESP (TGI)
Enel Colombia S.A. ESP (Participación / Joint venture)
Electro Dunas S.A.A. (Inversiones en Perú)
Cálidda (Perú)
Contugas (Perú)
Aerovías del Continente Americano S.A. Avianca
Tampa Cargo S.A.S. (Avianca Cargo)
Avianca Express S.A.S.
Regional Express Américas S.A.S.
LifeMiles Colombia S.A.S.
Enel Colombia S.A. ESP (Fusión Emgesa, Codensa, Enel Green Power Colombia)
Enel Green Power Colombia S.A.S. ESP
Comunicación Celular S.A. Comcel S.A.
Telmex Colombia S.A.
Entidad Promotora de Salud Sanitas S.A.S. (EPS Sanitas)
Clínica Colsanitas S.A.
EPS Familiar de Colombia (antes EPS Ecoopsos participaciones)
Compañía de Medicina Prepagada Colsanitas S.A.
Medisanitas S.A.
Fundación Universitaria Sanitas
Oftalmosanitas S.A.S.
Promigas S.A. ESP
Gases de Occidente S.A. ESP (GdO)
Surtigas S.A. ESP
Gases de La Guajira S.A. ESP
Compañía Energética de Occidente S.A.S. ESP (CEO)
Enlace Servicios Compartidos S.A.S.
Zonamerica Colombia S.A.S.
Celsia Colombia S.A. ESP
Compañía de Electricidad de Tuluá S.A. ESP (CETSA)
Zona Franca Celsia S.A. ESP
Carvajal S.A.
Propal S.A.
Carvajal Educación S.A.S. (Norma, Jean Book)
Carvajal Empaques S.A.
Carvajal Espacios S.A.S. (Mepal)
Carvajal Tecnología y Servicios S.A.S.
Bico Internacional S.A.
Cargraphics S.A.
Sanford Management S.A.S.
Filmtex S.A.S.
Dexton S.A.
Aplex Colombia
Inversiones y participaciones financieras diversas (históricamente Biofilm, Propilco, Pavco)
Jerónimo Martins Colombia S.A.S.
Koba Colombia S.A.S.
Drummond Ltd. (Sucursal Colombia)
Drummond Energy, Inc.
Drummond Coal Minning LLC
Refinería de Cartagena S.A.S. (Reficar es en sí misma parte del Grupo Ecopetrol, operando como filial estratégica principal independiente)
REFINERIA DE CARTAGENA S.A.S.
CARBONES DEL CERREJON LIMITED
DRUMMOND LTD
ALMACENES EXITO S.A.
NUEVA EPS S.A.
COMUNICACIÓN CELULAR S.A.
D1 S.A.S.
AVIANCA
COLOMBIANA DE COMERCIO S.A.
EMGESA S.A. E.S.P.
KOPPS COMMERCIAL S.A.S.
EPS SURA
E.P.S. SANITAS S.A.
JERONIMO MARTINS COLOMBIA S.A.S.
CENIT TRANSPORTE Y LOGISTICA DE HIDROCARBUROS S.A.S.
COLOMBIA TELECOMUNICACIONES S.A. E.S.P. - TELEFONICA
SUPERTIENDAS Y DROGUERIAS OLIMPICA S.A.
PRIMAX COLOMBIA S.A.
CERREJON ZONA NORTE S.A.
BAVARIA & COMPAÑIA S.C.A
C.I. TRAFIGURA PETROLEUM COLOMBIA S.A.S.
SALUD TOTAL S.A. EPS
SODIMAC COLOMBIA S.A.
OLEODUCTO CENTRAL S.A.
PAREX RESOURCES (COLOMBIA) AG SUCURSAL
FRONTERA ENERGY COLOMBIA CORP., SUCURSAL COLOMBIA
CELSIA COLOMBIA S.A. E.S.P. ANTES EMPRESA DE ENERGIA DEL PACIFICO S.A. E.S.P.- EPSA
ISAGEN S.A. E.S.P.
VERANO ENERGY (SWITZERLAND) AG SUCURSAL
CENCOSUD COLOMBIA S.A.
CHEVRON PETROLEUM COMPANY
COMPENSAR
SAMSUNG ELECTRONICS COLOMBIA S.A.
SAVIA SALUD EPS
DROGUERIAS Y FARMACIAS CRUZ VERDE S.A.S.
GEOPARK COLOMBIA S.A.S.
COOSALUD
INDUSTRIA NACIONAL DE GASEOSAS S.A.
FAMISANAR LTDA. CAFAM - COLSUBSIDIO E.P.S.
CERRO MATOSO S.A.
RENAULT SOCIEDAD DE FABRICACION DE AUTOMOTORES S.A.S.
GRUPO ENERGÍA DE BOGOTÁ S.A. E.S.P.
AUTOMOTORES TOYOTA COLOMBIA S.A.S.
GENERAL MOTORS COLMOTORES S.A.
CONTEGRAL S.A.S.
AUDIFARMA S.A.
ITALCOL S.A.
VANTI S.A. E.S.P.
MUTUAL SER
INTERCONEXIÓN ELÉCTRICA S.A. E.S.P. - ISA
JGDB HOLDING S.A.S.
BIOMAX BIOCOMBUSTIBLES S.A.
C.I. PRODECO S.A.
TECNOQUIMICAS S.A.
ALIMENTOS CARNICOS S.A.S.
TRAFIGURA MARKETING COLOMBIA S.A.S. E.S.P
DISTRACOM S.A.
UNE EPM TELECOMUNICACIONES S.A.
YARA COLOMBIA S.A.
MEXICHEM RESINAS COLOMBIA S.A.S.
SOLLA S.A.
ALIMENTOS FINCA S.A.S.
TELEPERFORMANCE COLOMBIA S.A.S.
COLOMBIA MOVIL S.A. E S P
POSTOBON S.A.
COLSANITAS
GASEOSAS LUX S.A.S.
TAMPA CARGO S.A.S.
EMSSANAR ESS
FALABELLA DE COLOMBIA S.A.
COLOMBINA S.A.
ASMET SALUD
CI ENERGIA SOLAR S.A.S. ESWINDOWS
DIANA CORPORACION S.A.S.
MARVAL HOLDING S.A.S.
SIERRACOL ENERGY ARAUCA, LLC.
TERPEL EXPORTACIONES C.I. S.A.S.
ITALCOL DE OCCIDENTE S.A.
TENARIS TUBOCARIBE LIMITADA.
ALPINA PRODUCTOS ALIMENTICIOS S.A.
AVIDESA MAC POLLO S.A.
APPLE COLOMBIA S.A.S.
NESTLE DE COLOMBIA S.A.
INDUSTRIA COLOMBIANA DE CAFE S.A.S.
SIERRACOL ENERGY ANDINA, LLC.
C.I. ACEPALMA S.A.
RACAFE & COMPAÑIA SCARACAFE & COMPAÑIA SCA
COLGATE PALMOLIVE COMPAÑIA
PROMIGAS S.A. E.S.P.
PRICESMART COLOMBIA S.A.S.
POLLOS EL BUCANERO S.A.
PEPSICO ALIMENTOS COLOMBIA LIMITADA.
OLAM AGRO COLOMBIA S.A.S.
UNILEVER ANDINA COLOMBIA LIMITADA.
C.I. TRAFIGURA COAL COLOMBIA S.A.S.
PRODUCTOS FAMILIA S.A.
CI ADM COLOMBIA LIMITADA.
CONTINENTAL GOLD LIMITED SUCURSAL COLOMBIA
ONGC VIDESH LIMITED SUCURSAL COLOMBIANA
COMERCIALIZADORA INTERNACIONAL MILPA SOCIEDAD ANONIMA
C.I. UNIÓN DE BANANERO DE URABÁ S.A. - UNIBVA
ORF S.A.
CAPITAL SALUD EPSS S.A.S.
SUCDEN COLOMBIA S.A.S.
KUEHNE+ NAGEL S.A.S.
GRAN TIERRA ENERGY COLOMBIA, LLC SUCURSAL
AIRES LATAM AIRLINES COLOMBIA
CLINICA COLSANITAS S.A.
TERNIUM COLOMBIA S. A. S.
CARCAFE LTDA.
FAST COLOMBIA
SURAMERICA COMERCIAL S.A.S.
MAKRO SUPERMAYORISTA S.A.S.
CARTON COLOMBIA S.A.
NEXSYS DE COLOMBIA S.A.S.
HP COLOMBIA S.A.S.
ARIS MINING SEGOVIA
FIDUPREVISORA FONDO DE PRESTACIONES SOCIALES DEL MAGISTERIO
FABRICA NACIONAL DE AUTOPARTES FANALCA S.A.
ACERIAS PAZ DE RIO S.A.
HARINERA DEL VALLE S.A.
MASSER S.A.S.
C.I. SUNSHINE BOUQUET S.A.S.
MAZDA DE COLOMBIA S.A.S.
ALIMENTOS BALANCEADOS TEQUENDAMA S.A. ALBATEQ S.A.
HUAWEI TECHNOLOGIES COLOMBIA S.A.S.
COMPAÑÍA COLOMBIANA DE CERAMICA S.AAN
PORSCHE COLOMBIA S.A.S.
RIOPAILA CASTILLA S.A.
ALTIPAL S.A.S.
COMPAÑIA NACIONAL DE CHOCOLATES S.A.S.
DERCO COLOMBIA S.A.S.
TEAM FOODS COLOMBIA S.A.
BAYERS.A.
GASES DE OCCIDENTE S.A. E.S.P.
DIAGEO COLOMBIA S.A.
SUCAFINA COLOMBIA S.A.S.
EMPRESA DE TELECOMUNICACIONES DE BOGOTÁ S.A. E.S.P.
BEL STAR S.A.
TECNOGLASS S.A.S.
DIRECCION DE SANIDAD POLICIA NACIONAL
CASATORO S.A. BIC
INGREDION COLOMBIA S.A.
INGENIO DEL CAUCA S.A.S.
DIACO S.A.
LENOVO (ASIA PACIFIC) LIMITED SUCURSAL COLOMBIA LENOVO (ASIA PACIFIC) LIMITED SUCURSAL COLOMBIA
GYJ FERRETERIAS S.A.
COMPAÑÍA DE GALLETAS NOEL S.A.S.
INCHCAPE COLOMBIA S.A.S.
INDUSTRIA COLOMBIANA DE MOTOCICLETAS YAMAHA S.A.
PROCTER & GAMBLE COLOMBIA LIMITADA.
GRUPO BOLIVAR S. A.
CÓNDOR SPECIALTY COFFEE S.A.S.
CABLES DE ENERGIA Y DE TELECOMUNICACIONES S.A.S.
COLOMBIANA KIMBERLY COLPAPEL S.A.S.
QUALA S.A.
JOHNSON & JOHNSON DE COLOMBIA S.A.
MPS MAYORISTA DE COLOMBIA S.A.
DRUMMOND COAL MINING LLC
C.I. TEQUENDAMA S.A.S.
SERVICIO OCCIDENTAL DE SALUD EPS SOS S.A.
AJOVER DARNEL S.A.S.
BIO D S.A. USUARIO OPERADOR DE ZONA FRANCA
NOVAVENTA S.A.S.
FUNDACION VALLE DEL LILI
RENTING COLOMBIA S.A.S.
INDUSTRIAS HACEB S.A.
HALLIBURTON LATIN AMERICA S.R.L. SUCURSAL COLOMBIA
CI MEPRECOL S.A.
GRUPO BICENTENARIO S.A.S.
NOKIA SOLUTIONS AND NETWORKS COLOMBIA LIMITADA.
INGENIO PROVINCIA S.A.
METROKIA S.A.
GRAN TIERRA COLOMBIA INC SUCURSAL
COLOMBIANA DE LICITACIONES Y CONCESIONES S.A.S.
MANUFACTURAS ELIOT S.A.S.
LG ELECTRONICS COLOMBIA LIMITADA.
SURTIDORA DE GAS DEL CARIBE S.A. E.S.P.
IMPRESISTEM S.A.S.
SUCESORES DE JOSE JESUS RESTREPO & CIA. S.A. CASA LUKER S.A.
DISTRIBUIDORA NISSAN S.A.
SCHLUMBERGER SURENCO S.A.
INGRAM MICRO S.A.S.
COMERCIAL INTERNACIONAL DE EQUIPOS Y MAQUNARIA S.A.S.
AVIDESA DE OCCIDENTE S.A.
CARVAJAL PULPA Y PAPEL S.A.
RED CARNICA S.A.S.
GUNVOR COLOMBIA S.A.S.
CERVECERIA DEL VALLE S.A.S.
AMARILO S.A.S.
AMOV COLOMBIA S.A.
BIMBO DE COLOMBIA S.A.
DOW QUIMICA DE COLOMBIA S.A..
MAYAGUEZ S.A.
EMBOTELLADORA DE LA SABANA S.A.S.
COFCO INTERNATIONAL COLOMBIA S.A.S.
PRODUCTOS NATURALES DE LA SABANA S.A.S. BIC
NITROFERT S.A.S.
CRISTALERIA PELDAR S.A.
PROCAPS S.A.
DIRECCION GENERAL DE SANIDAD MILITAR
BAKER HUGHES DE COLOMBIA
OLEODUCTO DE LOS LLANOS ORIENTALES S.A.
BASF QUIMICA COLOMBIANA S.A.
THOMAS GREG & SONS LIMITED (GUERNSEY) S.A.
THE ELITE FLOWER S.A.S. CI
FORD MOTOR COLOMBIA S.A.S.
AUTECO MOBILITY S.A.S.
PRODUCTOS ROCHE S.A.
ESENTTIA MASTERBATCH LIMITADA.
ISHOP COLOMBIA S.A.S.
MABE COLOMBIA S.A.S.
LÍNEA AÉREA CARGUERA DE COLOMBIA S. A. LANCO
MINEX COMPAÑIA INTERNACIONAL S.A.S. CI
COMERCIALIZADORA COLOMBIANA DE CARBONES Y COQUE S.A.S. CI
SIDERURGICA DEL OCCIDENTE S.A.S.
COLMÉDICA
GOAM 1 C.I S.A.S.
TAGHLEEF LATIN AMERICA S.A.
SISTEMAS COLOMBIA S.A.S.
CI TECNICAS BALTIME COLOMBIA S.A.
ACESCO COLOMBIA S.A.S.
CARACOL TELEVISION S.A.
NOVARTIS DE COLOMBIA S.A.
INTERNACIONAL DE DISTRIBUCIONES DE VESTUARIO DE MODA S.A.S.
OLEOFLORES S.A.S.
DISLICORES
MERCADOLIBRE COLOMBIA LIMITADA.
CONSTRUCTORA CONCONCRETO S.A.
SAP COLOMBIA S.A.S.
ADMINEGOCIOS S.A.S.
GRASAS S.A.
CRYSTAL S.A.S.
DISTRIBUIDORA TOYOTA S.A.S.
SEABOARD OVERSEAS COLOMBIA S.A.S.
MONOMEROS COLOMBO VENEZOLANOS S.A.
SUZUKI MOTOR DE COLOMBIA S.A.
DIRECTV COLOMBIA LIMITADA.
MANUELITA S.A.
PRECISAGRO S.A.S.
C.I. CARGILL DE COLOMBIA LIMITADA.
CONCRETOS ARGOS S.A.S.
BLU LOGISTICS COLOMBIA S.A.S.
GENERAL DE EQUIPOS DE COLOMBIA S.A.
SOLINSA G.C. S.A.S.
BRENNTAG COLOMBIA S.A.
OPERADORA AVICOLA COLOMBIA S.A.S.
ABBOTT LABORATORIES DE COLOMBIA S.A.S.
LOUIS DREYFUS COMPANY COLOLMBIA S.A.S.
ECODIESEL COLOMBIA S.A.
CI COLOMBIAN MINT S.A.S.
ETICOS SERRANO GOMEZ LIMITADA.
PETROBRAS COLOMBIA COMBUSTIBLES S.A.
RELIANZ MINING SOLUTIONS S.A.S.
PFIZER S.A.S.
PERMODA LIMITADA.
CORTEVA AGRISCIENCE DE COLOMBIA S.A.S.
SANOFI AVENTIS DE COLOMBIA S.A.
SKN CARIBECAFE S.A.S.
ALIMENTOS POLAR COLOMBIA S.A.S.
ACEITES MANUELITA S.A.
GRUPO SIDERURGICO REYNA S.A.S.
HINO MOTORS MANUFACTURING COLOMBIA S.A.S.
FARMATODO COLOMBIA S.A.
MADECENTRO COLOMBIA S.A.S.
BRINSA S.A.
C.I.J GUTIERREZ Y COMPAÑIA S.A.
BRITISH AMERICAN TOBACCO COLOMBIA S.A.S.
GRUPO NUTRESA S.A.
HOLCIM (COLOMBIA) S.A.
PINTUCO COLOMBIA S.A.S.
MEXICHEM COLOMBIA S.A.S.
DELL COLOMBIA INC
SERVICIOS DE SALUD IPS SURAMERICANA S.A.
CONSTRUCCIONES EL CONDOR S.A.
C.I BULK TRADING SUR AMERICA S.A.S.
STF GROUP S.A.
AUTOGERMANA S.A.S.
MERCK SHARP & DOHME COLOMBIA S.A.S.
OLEODUCTO DE COLOMBIA S.A.
ZEUSS S.A.S.
YUMA CONCESIONARIA S.A. EN REORGANIZACION
CANPACK COLOMBIA S.A.S.
LABORATORIO FRANCO COLOMBIANO LAFRANCOL S.A.S.
ORGANIZACION CLINICA GENERAL DEL NORTE
THE WALT DISNEY COMPANY COLOMBIA S.A.
PAPELES NACIONALES S.A.
PASH S.A.S.
YOKOMOTOR S.A.
SUPERTIENDAS CAÑAVERAL S.A.S.
ZONA FRANCA ARGOS S.A.S.
PRODUCTOS AUTOADHESIVOS ARCLAD S.A.
ADAMA ANDINA B.V. SUCURSAL COLOMBIA
CERVECERIA UNIÓN S.A.
VIGILANCIA Y SEGURIDAD LIMITADA.
COMERCIAL CARD S.A.S.
CENTRO MEDICO IMBANACO DE CALI S.A.
UNIDROGAS S.A.S.
COOMEVA MEDICINA PREPAGADA S.A.
TERNIUM DEL ATLANTICO S.A.S.
TECPETROL COLOMBIA S.A.S.
CNRIII LTD.SUCURSAL COLOMBIA EN REORGANIZACION
CENTRAL CERVECERA DE COLOMBIA S.A.S.
GRUPO DE INVERSIONES SURAMERICANA S.A.
VIRREY SOLIS IPS. S.A.
MEICO S.A.
SURA ASSET MANAGEMENT S.A.
AUTONIZA S.A.
GRUPO UMAZF S.A.S.
ADIDAS COLOMBIA LIMITADA.
DISTRIBUIDORA LOS COCHES LA SABANA S.A.S.
FUNDACION OFTALMOLOGICA DE SANTANDER - FOSCAL
CNE OIL & GAS S.A.S.
INSTITUTO DE DIAGNOSTICO MEDICO S.A.
SOCIEDAD DE COMERCIALIZACION INTERNACIONAL GIRDLE & LINGERIE S.A.S.
ISMOCOL S.A.
BOEHRINGER INGELHEIM S.A.
CEPSA COLOMBIA S.A.
INCUBADORA SANTANDER S.A.
COMPAÑIA INDUSTRIAL DE PRODUCTOS AGROPECUARIOS S.A.
DETERGENTES LTDA.
STECKERL ACEROS S.A.S.
CONSTRUCTORA ARIGUANI S.A.S. - EN REORGANIZACION
CARBONES ANDINOS S.A.S.
ORACLE COLOMBIA LIMITADA.
PRODUCTOS RAMO S.A.S.
CUEROS VELEZ S.A.S.
COEXITO S.A.S.
BIOCOMBUSTIBLES SOSTENIBLES DEL CARIBE S.A. USUARIO OPERADOR DE ZONA FRANCA
PANAMERICANA LIBRERIA Y PAPELERIA S.A.
SUCROAL S.A.
TECNOSUR S.A.S.
ASOCIACIÓN INDÍGENA DEL CAUCA AIC EPS INDÍGENA
WORLD FUEL SERVICES COMPANY LLC SUCURSAL COLOMBIA
IBM DE COLOMBIA S.A.S.
LABORATORIOS BAXTER S.A.
FUNDACION SANTA FE DE BOGOTA
COMPAÑIA NACIONAL DE LEVADURAS LEVAPAN S.A.
AGROPECUARIA ALIAR S.A.
OSPREY METALS S.A.S.
MINEROS ALUVIAL S.A.S. BIC
MULTIENLACE S.A.S.
FRISBY S.A. BIC
KENWORTH DE LA MONTAÑA SAA
WEATHERFORD COLOMBIA LIMITED
AVICOLA LOS CAMBULOS S.A.
HA BICICLETAS S.A.
AGROINDUSTRIAL MOLINO SONORA AP S.A.S.
C.I. TOP S.A.
GASEOSAS COLOMBIANAS S.A.S.
NALSANI S.A.S.
MINCIVIL S.A.
PEPSICO ALIMENTOS Z.F. LIMITADA.
CHALLENGER S.A.S.
GESTORA ADMINEGOCIOS Y COMPAÑIA S EN C
CLARIOS ANDINA S.A.S.
GROUPE SEB ANDEAN S.A.
MOTORES Y MÁQUINAS S.A. BIC
MEALS MERCADEO DE ALIMENTOS DE COLOMBIA S.A.S.
MEDICARTE S.A.
JARAMILLO MORA CONSTRUCTORA S.A.
MARVAL S.A.S.
COMERCIALIZADORA INTERNACIONAL BANACOL DE COLOMBIA S.A.S. EN REORGANIZACIÓN.
COMPAÑIA DE INVERSIONES TEXTILES DE MODA TEXMODA S.A.S.
ARQUITECTURA Y CONCRETO S.A.S.
PROYECTOS Y DESARROLLOS VIALES DEL PACIFICO S.A.S.
COSMITET LIMITADA. CORPORACION DE SERVICIOS MEDICOS INTERNACIONALES THEM Y COMPAÑIA LIMITADA.
AMERICAS STYRENICS DE COLOMBIA LIMITADA.
CREDIVALORES CREDISERVICIOS S.A.
PUERTO BAHIA COLOMBIA DE URABA S.A.
FAMILIA DEL PACIFICO S.A.S.
HOLDING CONSTRUCCION MINERIA Y ENERGIA COLOMBIANA S.A.S.
PRODUCTORA DE CABLES PROCABLES S.A.S.
SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS DE CAFICULTORES S.A. EXPOCAFE S.A.
ANHIDRIDOS Y DERIVADOS DE COLOMBIA S.A.S. ANDERCOL
AERO REPÚBLICA S.A. WINGO
CARIBBEAN ECO SOAPS USUARIO INDUSTRIAL DE BIENES Y SERVICIOS UIBSS S.A.S.
COMPAÑÍA CAFETERA LA MESETA S.A.
QBCO S.A.S.
COMERCIAL NUTRESA S.A.S.
AGOFER S.A.S.
SOCIEDAD DE COMERCIALIZACION INTERNACIONAL EXCOMIN S.A.S. BIC
COMPAÑIA COLOMBIANA DE TABACO S.A.S.
UNIPHOS COLOMBIA PLANT LTD
SGS COLOMBIA HOLDING S.A.S.
SYNGENTA S.A.
ACTIUNIDOS S.A.
CONTROLES EMPRESARIALES S.A.S.
AVICOLA EL MADROÑO S.A.
PUMA ENERGY COLOMBIA COMBUSTIBLES S.A.S.
SIEMENS ENERGY S.A.S.
FUNDACION CARDIO INFANTIL INSTITUTO DE CARDIOLOGIA
GLAXOSMITHKLINE CONSUMER HEALTHCARE COLOMBIA S.A.S.
HOSPITAL PABLO TOBON URIBE
QUIMPAC DE COLOMBIA S.A.
CONEXRED S,A,S
GRUPO EDS AUTOGAS S.A.S.
COMMERK S.A.S.
I R C C S.A.S. INDUSTRIA DE RESTAURANTES CASUALES S.A.S.
COMPAÑIA DSIERRA SA.
SODEXO
CANACOL ENERGY COLOMBIA S.A.S.
SEATECH INTERNATIONAL INC
EMPRESA CAPITALIZADORA DEL TOLIMA S.A.S. ESP
AGROINTEGRAL ANDINA S.A.S.
INGENIO LA CABAÑA S.AE
CONSTRUCTORA CAPITAL MEDELLIN S.A.S.
CONSTRUCTORA LAS GALIAS S.A.S.
REPSOL COLOMBIA OIL & GAS LIMITED
URBANIZADORA MARVAL S.A.S.
YANBAL DE COLOMBIA S.A.S.
DISTRIBUIDORA AVICOLA S.A.S.
FUNDACION CARDIOVASCULAR DE COLOMBIA
SUPERMERCADOS MERCACENTRO S.A.S.
MONDELEZ COLOMBIA S.A.S.
ORGANIZACION SOLARTE Y COMPAÑIA S.A.S.
PARTNERS TELECOM COLOMBIA S.A.S.
MERCADO ZAPATOCA S.A.
JANSSEN CILAG S.A.
ARCOS DORADOS COLOMBIA S.A.S. ARCOS DORADOS COLOMBIA S.A.S.
AJECOLOMBIA S.A. AJECOLOMBIA S.A.
CI WEST METASL COMPANY S.A.S.
AGENCIA DE ADUANAS DHL GLOBAL FORWARDING COLOMBIA S.A. NIVEL 1
CARTONES AMERICA S.A. CAME
DIAGNOSTICO Y ASISTENCIA MEDICA S.A. IPS DE SALUD
NABORS DRILLING INTERNATIONAL LTD BERMUDA
H&M HENNES & MAURITZ COLOMBIA S.A.S.
COCA-COLA BEBIDAS DE COLOMBIA
SCANIA COLOMBIA S.A.S.
ENKA DE COLOMBIA S.A.
AAK COLOMBIA S.A.S.
ADECCO COLOMBIA S.A.
DISAN AGRO S.A.S.
HENKEL COLOMBIANA S.A.S.
CLINICA MEDILASER S.A.S.
MCKINSEY & COMPANY COLOMBIA INC
FUNDICION RQAMIREZ ZONA FRANCA S.A.S.
COMERCIALIZADORA ARTURO CALLE S.A.S.
DEXCO COLOMBIA S.A.
COLOMBINA DEL CAUCA S.A.
COMERCIALIZADORA INTERNACIONAL BANANEROS UNIDOS DE SANTAMARTA S.A.S.
INVERSIONES EURO S.A.
PRODUCTORA DE ALAMBRES COLOMBIANOS PROALCO S.A.S.
INVERCOMER DEL CARIBE S.A.S.
CREPES Y WAFFLES S.A.
SUPER DE ALIMENTOS S.A.S.
COMFENALCO VALLE E.P.S.
HOTELES DECAMERON COLOMBIA S.A.S.
MINEROS S.A.
PROMOTORA DE CAFE COLOMBIA S. A.
A LAUMAYER Y COMPAÑIA EXPORTADORES DE CAFE S.A.S.
SED INTERNATIONAL DE COLOMBIA S.A.S.
PRODESA Y COMPAÑIA S.A.
EMTELCO S.A.S.
ACTIVOS S.A.S.
SIEMENS SOCIEDAD POR ACCIONES SIMPLIFICADA
